type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.baggage,arrival.terminal,departure.delay,arrival.delay,arrival.gate,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway
departure,active,ext,egte,2022-05-10t19:45:00.000,2022-05-10t19:45:00.000,2022-05-10t19:53:00.000,2022-05-10t19:53:00.000,2022-05-10t19:53:00.000,alc,leal,2022-05-10t23:05:00.000,2022-05-10t22:54:00.000,ryanair,fr,ryr,2797,fr2797,ryr2797,3b,,9.0,,,,,
departure,active,ext,egte,2022-05-11t08:55:00.000,2022-05-11t08:55:00.000,2022-05-11t08:50:00.000,2022-05-11t08:50:00.000,2022-05-11t08:50:00.000,agp,lemg,2022-05-11t12:25:00.000,2022-05-11t12:08:00.000,ryanair,fr,ryr,3524,fr3524,ryr3524,,,,,,,,
departure,active,ext,egte,2022-05-14t16:40:00.000,2022-05-14t16:40:00.000,,,,alc,leal,2022-05-14t20:00:00.000,,ryanair,fr,ryr,2797,fr2797,ryr2797,6b,,,,,,,
departure,active,ext,egte,2022-05-15t08:55:00.000,2022-05-15t08:55:00.000,,,,agp,lemg,2022-05-15t12:25:00.000,,ryanair,fr,ryr,3524,fr3524,ryr3524,,,,,,,,
departure,active,ext,egte,2022-05-17t19:45:00.000,2022-05-17t19:45:00.000,,,,alc,leal,2022-05-17t23:05:00.000,,ryanair,fr,ryr,2797,fr2797,ryr2797,6b,,,,,,,
departure,active,ext,egte,2022-05-18t08:55:00.000,2022-05-18t08:55:00.000,2022-05-18t08:50:00.000,2022-05-18t08:50:00.000,2022-05-18t08:50:00.000,agp,lemg,2022-05-18t12:25:00.000,2022-05-18t12:10:00.000,ryanair,fr,ryr,3524,fr3524,ryr3524,,,,,,,,
departure,active,ext,egte,2022-05-21t16:40:00.000,2022-05-21t16:50:00.000,,,,alc,leal,2022-05-21t20:00:00.000,,ryanair,fr,ryr,2797,fr2797,ryr2797,5b,,10.0,,,,,
departure,active,ext,egte,2022-05-22t08:55:00.000,2022-05-22t08:55:00.000,,,,agp,lemg,2022-05-22t12:25:00.000,,ryanair,fr,ryr,3524,fr3524,ryr3524,,,,,,,,
departure,active,ext,egte,2022-05-24t19:45:00.000,2022-05-24t19:45:00.000,,,,alc,leal,2022-05-24t23:05:00.000,,ryanair,fr,ryr,2797,fr2797,ryr2797,6b,,,,,,,
departure,active,ext,egte,2022-05-25t08:55:00.000,2022-05-25t08:55:00.000,,,,agp,lemg,2022-05-25t12:25:00.000,,ryanair,fr,ryr,3524,fr3524,ryr3524,,,,,,,,
