type,status,departure.iataCode,departure.icaoCode,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.terminal,arrival.baggage,arrival.gate,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay
departure,active,ltn,eggw,2,4.0,2022-01-04t10:05:00.000,2022-01-04t10:05:00.000,2022-01-04t10:09:00.000,2022-01-04t10:09:00.000,2022-01-04t10:09:00.000,noc,eikn,2022-01-04t11:30:00.000,2022-01-04t11:14:00.000,ryanair,fr,ryr,8142,fr8142,ryr8142,,,,,,,
departure,active,ltn,eggw,2,2.0,2022-01-04t12:50:00.000,2022-01-04t12:50:00.000,2022-01-04t12:51:00.000,2022-01-04t12:51:00.000,2022-01-04t12:51:00.000,ace,gcrr,2022-01-04t16:55:00.000,2022-01-04t16:46:00.000,ryanair,fr,ryr,3511,fr3511,ryr3511,1,5,,,,,
departure,active,ltn,eggw,2,5.0,2022-01-04t14:15:00.000,2022-01-04t14:15:00.000,2022-01-04t14:20:00.000,2022-01-04t14:20:00.000,2022-01-04t14:20:00.000,dub,eidw,2022-01-04t15:30:00.000,2022-01-04t15:13:00.000,ryanair,fr,ryr,338,fr338,ryr338,1,7,106,,,,
departure,active,ltn,eggw,2,,2022-01-04t15:30:00.000,2022-01-04t15:30:00.000,2022-01-04t15:28:00.000,2022-01-04t15:28:00.000,2022-01-04t15:28:00.000,kir,eiky,2022-01-04t17:00:00.000,2022-01-04t16:42:00.000,ryanair,fr,ryr,842,fr842,ryr842,,,,,,,
departure,active,ltn,eggw,2,2.0,2022-01-04t17:00:00.000,2022-01-04t17:00:00.000,2022-01-04t17:01:00.000,2022-01-04t17:01:00.000,2022-01-04t17:01:00.000,alc,leal,2022-01-04t20:30:00.000,2022-01-04t20:12:00.000,ryanair,fr,ryr,3770,fr3770,ryr3770,,,,,,,
departure,active,ltn,eggw,2,,2022-01-04t17:00:00.000,2022-01-04t17:00:00.000,,,,agp,lemg,2022-01-04t20:45:00.000,,ryanair,fr,ryr,7784,fr7784,ryr7784,,,,,,,
departure,active,ltn,eggw,2,3.0,2022-01-04t17:40:00.000,2022-01-04t17:40:00.000,2022-01-04t17:42:00.000,2022-01-04t17:42:00.000,2022-01-04t17:42:00.000,rze,eprz,2022-01-04t21:05:00.000,2022-01-04t20:46:00.000,ryanair,fr,ryr,3472,fr3472,ryr3472,,,,,,,
departure,scheduled,ltn,eggw,2,55.0,2022-01-04t19:00:00.000,2022-01-04t19:55:00.000,,,,nap,lirn,2022-01-04t22:40:00.000,,ryanair,fr,ryr,5455,fr5455,ryr5455,,,,,,,
departure,active,ltn,eggw,2,4.0,2022-01-04t20:05:00.000,2022-01-04t20:05:00.000,2022-01-04t20:08:00.000,2022-01-04t20:08:00.000,2022-01-04t20:08:00.000,dub,eidw,2022-01-04t21:20:00.000,2022-01-04t21:02:00.000,ryanair,fr,ryr,341,fr341,ryr341,1,7,1xs,2022-01-04t21:01:00.000,2022-01-04t21:01:00.000,2022-01-04t21:01:00.000,
departure,active,ltn,eggw,2,12.0,2022-01-05t06:30:00.000,2022-01-05t06:30:00.000,2022-01-05t06:42:00.000,2022-01-05t06:42:00.000,2022-01-05t06:42:00.000,dub,eidw,2022-01-05t07:45:00.000,2022-01-05t07:32:00.000,ryanair,fr,ryr,331,fr331,ryr331,1,6,105,,,,
departure,active,ltn,eggw,2,12.0,2022-01-05t06:45:00.000,2022-01-05t06:45:00.000,2022-01-05t06:56:00.000,2022-01-05t06:56:00.000,2022-01-05t06:56:00.000,tfs,gcts,2022-01-05t11:05:00.000,2022-01-05t11:07:00.000,ryanair,fr,ryr,3513,fr3513,ryr3513,,a6,,,,,3.0
departure,active,ltn,eggw,2,5.0,2022-01-05t06:55:00.000,2022-01-05t06:55:00.000,2022-01-05t07:00:00.000,2022-01-05t07:00:00.000,2022-01-05t07:00:00.000,krk,epkk,2022-01-05t10:20:00.000,2022-01-05t09:55:00.000,ryanair,fr,ryr,1813,fr1813,ryr1813,t,,,,,,
departure,active,ltn,eggw,2,2.0,2022-01-05t07:00:00.000,2022-01-05t07:00:00.000,2022-01-05t07:02:00.000,2022-01-05t07:02:00.000,2022-01-05t07:02:00.000,mla,lmml,2022-01-05t11:15:00.000,2022-01-05t10:48:00.000,ryanair,fr,ryr,3882,fr3882,ryr3882,,,,,,,
departure,active,ltn,eggw,2,6.0,2022-01-05t07:40:00.000,2022-01-05t07:40:00.000,2022-01-05t07:45:00.000,2022-01-05t07:45:00.000,2022-01-05t07:45:00.000,kun,eyka,2022-01-05t12:15:00.000,2022-01-05t11:59:00.000,ryanair,fr,ryr,3466,fr3466,ryr3466,,,,,,,
departure,active,ltn,eggw,2,6.0,2022-01-05t08:20:00.000,2022-01-05t08:20:00.000,2022-01-05t08:26:00.000,2022-01-05t08:26:00.000,2022-01-05t08:26:00.000,bcn,lebl,2022-01-05t11:25:00.000,2022-01-05t11:08:00.000,ryanair,fr,ryr,5090,fr5090,ryr5090,2,45,,,,,
departure,active,ltn,eggw,2,21.0,2022-01-05t09:50:00.000,2022-01-05t09:50:00.000,2022-01-05t10:10:00.000,2022-01-05t10:10:00.000,2022-01-05t10:10:00.000,nap,lirn,2022-01-05t13:30:00.000,2022-01-05t13:30:00.000,ryanair,fr,ryr,5455,fr5455,ryr5455,,,,,,,1.0
departure,active,ltn,eggw,2,6.0,2022-01-05t09:50:00.000,2022-01-05t09:50:00.000,2022-01-05t09:55:00.000,2022-01-05t09:55:00.000,2022-01-05t09:55:00.000,ork,eick,2022-01-05t11:10:00.000,2022-01-05t10:57:00.000,ryanair,fr,ryr,7680,fr7680,ryr7680,,,,,,,
departure,active,ltn,eggw,2,,2022-01-05t13:55:00.000,2022-01-05t13:55:00.000,2022-01-05t13:53:00.000,2022-01-05t13:53:00.000,2022-01-05t13:53:00.000,fue,gcfv,2022-01-05t18:10:00.000,2022-01-05t17:42:00.000,ryanair,fr,ryr,7912,fr7912,ryr7912,,5,,,,,
departure,active,ltn,eggw,2,,2022-01-05t14:00:00.000,2022-01-05t14:00:00.000,2022-01-05t14:00:00.000,2022-01-05t14:00:00.000,2022-01-05t14:00:00.000,bzg,epby,2022-01-05t17:05:00.000,2022-01-05t16:45:00.000,ryanair,fr,ryr,1640,fr1640,ryr1640,,,,,,,
departure,active,ltn,eggw,2,12.0,2022-01-05t14:25:00.000,2022-01-05t14:25:00.000,2022-01-05t14:37:00.000,2022-01-05t14:37:00.000,2022-01-05t14:37:00.000,dub,eidw,2022-01-05t15:40:00.000,2022-01-05t15:28:00.000,ryanair,fr,ryr,338,fr338,ryr338,1,6,109,,,,
departure,active,ltn,eggw,2,8.0,2022-01-05t15:10:00.000,2022-01-05t15:10:00.000,2022-01-05t15:17:00.000,2022-01-05t15:17:00.000,2022-01-05t15:17:00.000,bzr,lfmu,2022-01-05t18:00:00.000,2022-01-05t17:44:00.000,ryanair,fr,ryr,3456,fr3456,ryr3456,,,,,,,
departure,active,ltn,eggw,2,9.0,2022-01-05t15:15:00.000,2022-01-05t15:15:00.000,2022-01-05t15:24:00.000,2022-01-05t15:24:00.000,2022-01-05t15:24:00.000,snn,einn,2022-01-05t16:35:00.000,2022-01-05t16:27:00.000,ryanair,fr,ryr,8624,fr8624,ryr8624,,,,,,,
departure,active,ltn,eggw,2,,2022-01-05t16:55:00.000,2022-01-05t16:55:00.000,,,,vno,eyvi,2022-01-05t21:35:00.000,,ryanair,fr,ryr,3468,fr3468,ryr3468,,,,,,,
departure,active,ltn,eggw,2,,2022-01-05t18:00:00.000,2022-01-05t18:00:00.000,2022-01-05t17:59:00.000,2022-01-05t17:59:00.000,2022-01-05t17:59:00.000,blq,lipe,2022-01-05t21:15:00.000,2022-01-05t20:39:00.000,ryanair,fr,ryr,3406,fr3406,ryr3406,,,,,,,
departure,active,ltn,eggw,2,,2022-01-05t19:55:00.000,2022-01-05t19:55:00.000,,,,dub,eidw,2022-01-05t21:10:00.000,,ryanair,fr,ryr,341,fr341,ryr341,1,7,109,,,,
departure,active,ltn,eggw,2,10.0,2022-01-06t06:25:00.000,2022-01-06t06:25:00.000,2022-01-06t06:35:00.000,2022-01-06t06:35:00.000,2022-01-06t06:35:00.000,vno,eyvi,2022-01-06t11:05:00.000,2022-01-06t10:53:00.000,ryanair,fr,ryr,3468,fr3468,ryr3468,,,,,,,
